address,predicted_address,housenumber,street_number,street,locality/colony,area,city,postal_code,,outcome,,,,,,
 pitampura,"Pitampura, New Delhi, Delhi, India",,,,Pitampura,North West Delhi,New Delhi,,,TP,,,,,,
"#3, Sr no 33/6,  saifitness building, near icchapurti temple, behind bharti vidyapeeth, ambegaon bk, pune",,,,,,,,,,FN,,,,,,
1027 sector 28 ground floor faridabad haryana,"Sector 28, Faridabad, Haryana, India",,,,Sector 28,Faridabad,Faridabad,,,TP,,,,,,
106b U&V block shalimar bagh delhi,,,,,,,,,,FN,,,,,,
"1077,sector-4/a,bokaro steel city, jharkhand,827004","E-3, City Centre, Near LIC office-1, Sector 4, Bokaro Steel City, Jharkhand 827004, India",,,,,Bokaro Steel City,827004,,,TP,,,,,,
"122A/10, Gautam Nagar, New Delhi","122a/10, Gautam Nagar, New Delhi, Delhi 110049, India",,,,Gautam Nagar Gautam Nagar,South Delhi,New Delhi,110049,,TP,,,,,,
"123,haus khas,new delhi","Block K, Hauz Khas Enclave, Hauz Khas, New Delhi, Delhi 110016, India",,,,Hauz Khas Hauz Khas Enclave,South Delhi,New Delhi,110016,,TP,,,,,,
12A gurmandi delhi 110007,"12A/14, WEA, Saraswathi Marg, Karolbagh, Block 12A, WEA, Karol Bagh, Delhi, 110005, India",,,,,Delhi,110005,,,TP,,,,,,
136B D D A Janta flats paschim vihar extn new delhi,"Janta Flats, Block A 3, Paschim Vihar, New Delhi, Delhi 110063, India",,,,Paschim Vihar,West Delhi,New Delhi,110063,,TP,,Result,,,,
"15/640,1st floor vasundhra ghaziabad","Vasundhara, Ghaziabad, Uttar Pradesh, India",,,,Vasundhara,Ghaziabad,Ghaziabad,,,TP,,,,,,
15300 dismuke ave,"15300 Dismuke Dr, Biloxi, MS 39532, USA",,15300,Dismuke Drive,Jackson County,Biloxi,39532,,,TP,,,,,,
1563 gulabi bagh type 2  govt. flats,"Gulabi Bagh, New Delhi, Delhi, India",,,,Gulabi Bagh,North Delhi,New Delhi,,,TP,,outcome,Count - outcome,,,
"17, School Lane, Radhey Puri, Krishna Nagar","School Ln, New Krishna Nagar, Krishna Nagar, Delhi, 110051, India",,,School Lane,Krishna Nagar New Krishna Nagar,East Delhi,Delhi,110051,,TP,,FN,12,, False Discovery Rate,False Omission Rates
1967/ 1 top floor A Street no 14 Bhola Nath Nagar Near DCP office Shahdara Delhi 110032,"Gali Number 14, Azad Nagar East, East Old Seelampur, Shahdara, Delhi, 110051, India",,,Gali Number 14,Shahdara East Old Seelampur,East Delhi,Delhi,110051,,TP,,FP,5,,0.026178010471204,0.923076923076923
2/255 subhash nagar,"2, 2/55, Block 17, Block 2, Subhash Nagar, New Delhi, Delhi 110027, India",,2,,Subhash Nagar Block 2,West Delhi,New Delhi,110027,,TP,,TN,1,,,
2/308,,,,,,,,,,FN,,TP,186,,Precision,Accuracy
"204, mp-2 , eldico amantaran, sector119,noida","Sector 119, Noida, Uttar Pradesh 201305, India",,,,,Noida,201305,,,TP,,Total Result,204,,0.076923076923077,0.916666666666667
222 bhai paramanand colony,"222, Ramlal Kapoor Marg, Dhaka Village, Mukherjee Nagar, Delhi, 110009, India",,222,Ramlal Kapoor Marg,Mukherjee Nagar Dhaka Village,North Delhi,Delhi,110009,,TP,,,,,,
"230/25C Railway Colony Mandawali Street no.-9,Delhi-110092","Street Number 9, Block B, Vinod Nagar North, New Delhi, Delhi 110092, India",,,Street Number 9,Vinod Nagar North,East Delhi,New Delhi,110092,,TP,,,,,,
24 Civil Lines Delhi,"24, Alipur Road, Near Vidhan Sabha Metro Station, Civil Lines, Delhi, 110054, India",,,,,Delhi,110054,,,TP,,,,,,
"248,brinda ban compound, Railway Road, Bazaria, Ghaziabad U.P - 201001","156/157, Ahasan Ali Compound, Railway Road, Bazaria., Ghaziabad, Uttar Pradesh 200101, India",,,,,Ghaziabad,200101,,,TP,,,,,,
